Event_type,cluster,num_events,avg_intensity,avg_lat,avg_lon,start_year,end_year,dominant_event_type,active_years,events_per_year,recent_events,growth_factor,recency_ratio,risk_score,risk_level
Volcano,737,6,0.0515684469845811,13.5448,-89.46536666666667,2002,2026,Volcano,25,0.24,4.0,5.0,0.6666666666666666,41.67,Medium
Wildfire,861,103,0.425361305003615,34.456612184889764,-110.96300974823646,2022,2026,Wildfire,5,20.6,28.0,1.3592233009708736,0.27184466019417475,39.95,Low
Wildfire,858,194,0.5256902502014439,-16.230363690368602,18.65080771307564,2024,2024,Wildfire,1,194.0,0.0,0.0,0.0,39.56,Low
Iceberg_D,410,6,0.35802922673180365,-66.98166666666667,81.38328333333334,2016,2026,Iceberg_D,11,0.5454545454545454,2.0,3.666666666666667,0.3333333333333333,39.2,Low
Wildfire,847,163,0.5256902502014439,59.882389565192454,-115.61045459533582,2024,2024,Wildfire,1,163.0,0.0,0.0,0.0,38.82,Low
Wildfire,857,142,0.5256902502014439,-10.73271071408035,29.99840523411893,2024,2024,Wildfire,1,142.0,0.0,0.0,0.0,38.23,Low
Wildfire,863,120,0.5256902502014439,-5.249465439306237,20.146152987530794,2024,2024,Wildfire,1,120.0,0.0,0.0,0.0,37.52,Low
Wildfire,862,117,0.5256902502014439,-9.892596834431538,19.349941099519324,2024,2024,Wildfire,1,117.0,0.0,0.0,0.0,37.41,Low
Wildfire,856,112,0.5256902502014439,-14.94040079280387,37.64276526279605,2024,2024,Wildfire,1,112.0,0.0,0.0,0.0,37.23,Low
Wildfire,852,53,0.5256902502014439,53.069253759275476,128.99789909785426,2024,2024,Wildfire,1,53.0,0.0,0.0,0.0,34.07,Low
Wildfire,859,51,0.5256902502014439,-8.607342972683723,25.277434444710565,2024,2024,Wildfire,1,51.0,0.0,0.0,0.0,33.91,Low
Wildfire,850,50,0.5256902502014439,61.09295699984199,120.23908348700633,2024,2024,Wildfire,1,50.0,0.0,0.0,0.0,33.83,Low
Wildfire,846,43,0.5256902502014439,68.31164836485439,140.80735997394578,2024,2024,Wildfire,1,43.0,0.0,0.0,0.0,33.19,Low
Wildfire,860,39,0.5256902502014439,-3.4926772186691553,23.59496590302953,2024,2024,Wildfire,1,39.0,0.0,0.0,0.0,32.79,Low
Wildfire,855,79,0.19689303194038466,45.17916655822785,-90.50074644303797,2024,2026,Wildfire,3,26.333333333333332,24.0,0.9113924050632912,0.3037974683544304,30.87,Low
Wildfire,854,23,0.5256902502014439,-23.193936780395926,23.977959647806415,2024,2024,Wildfire,1,23.0,0.0,0.0,0.0,30.6,Low
Wildfire,853,22,0.5256902502014439,-27.823879813044506,29.5635204230902,2024,2024,Wildfire,1,22.0,0.0,0.0,0.0,30.42,Low
Wildfire,864,27,0.29370610989613416,47.88103795481481,-104.29898528888889,2024,2025,Wildfire,2,13.5,7.0,0.5185185185185185,0.25925925925925924,28.75,Low
Volcano,740,13,0.0515684469845811,4.884830769230769,117.6767923076923,2020,2026,Volcano,7,1.8571428571428572,5.0,2.692307692307692,0.38461538461538464,26.65,Low
Iceberg_C,308,8,0.341908908933353,-67.1223,145.52743750000002,2011,2026,Iceberg_C,16,0.5,1.0,2.0,0.125,24.92,Low
Volcano,736,4,0.0515684469845811,-13.120000000000001,3.7382500000000007,2024,2025,Volcano,2,2.0,2.0,1.0,0.5,21.28,Low
Volcano,738,3,0.0515684469845811,0.07816666666666672,-77.46193333333333,2019,2025,Volcano,7,0.42857142857142855,1.0,2.3333333333333335,0.3333333333333333,20.61,Low
Iceberg_B,206,15,0.5079941810933788,-72.41403999999999,-113.6211,2011,2024,Iceberg_B,14,1.0714285714285714,0.0,0.0,0.0,19.46,Low
Volcano,739,3,0.0515684469845811,54.44166666666666,48.50000000000001,2021,2025,Volcano,5,0.6,1.0,1.6666666666666667,0.3333333333333333,17.76,Low
Iceberg_D,411,17,0.34248213147085366,-66.47764705882352,61.78411764705882,2019,2024,Iceberg_D,6,2.8333333333333335,0.0,0.0,0.0,15.83,Low
Iceberg_B,204,3,0.4371991920893847,-66.49046666666668,143.13956666666664,2011,2018,Iceberg_B,8,0.375,0.0,0.0,0.0,15.03,Low
