Event_type,lat,lon,intensity,year,month,day,hour,dayofweek,is_weekend,cluster
Wildfire,31.4411111,-82.5197222,7.154615356913663,2026,1,1,0,3,0,-1
Wildfire,36.31295,-81.1739,6.398594934535208,2026,1,1,0,3,0,-1
Fire,39.474996,-82.146232,7.604396348796338,2026,1,1,0,3,0,-1
Fire,39.449275,-82.124323,6.591673732008658,2026,1,1,0,3,0,-1
Fire,38.3132,-86.6787,6.452048954437226,2026,1,1,0,3,0,-1
Fire,33.376697,-83.41644,7.31455283232408,2026,1,1,0,3,0,4770
Wildfire,40.496668,-99.615742,7.090909822079984,2026,1,1,0,3,0,-1
Fire,44.2254153,-90.2632005,6.413786772282569,2026,1,1,0,3,0,-1
Fire,36.800278,-92.754167,7.666221925662725,2026,1,1,0,3,0,4769
Wildfire,36.5468,-96.077,7.501634457883413,2026,1,1,0,3,0,-1
Wildfire,36.820957,-96.45943,7.976251943745623,2026,1,1,0,3,0,-1
Fire,45.526033,-113.921867,7.170888478512505,2026,1,1,0,3,0,-1
Wildfire,35.146209,-103.285447,8.207674424355282,2026,1,1,0,3,0,-1
Wildfire,33.374444,-89.955556,7.313886831633462,2026,1,1,0,3,0,-1
Fire,30.3957,-94.34081,6.478509642208569,2026,1,1,0,3,0,4769
Fire,48.604201,-118.293279,6.2766434893416445,2026,1,1,0,3,0,-1
Wildfire,33.3744444,-89.9555556,7.313886831633462,2026,1,1,0,3,0,-1
Wildfire,38.20875,-98.47647,6.2166061010848646,2026,1,1,0,3,0,-1
Wildfire,35.0533333,-95.3672222,7.097548850614793,2026,1,1,0,3,0,4872
Wildfire,36.9369444,-95.0955556,6.398594934535208,2026,1,1,0,3,0,-1
Wildfire,36.4778,-96.6398,7.818832443803404,2026,1,1,0,3,0,-1
Wildfire,36.005,-98.3569444,6.431331081933479,2026,1,1,0,3,0,-1
Wildfire,47.885474,-95.257567,6.490723534502507,2026,1,1,0,3,0,-1
Fire,31.736,-90.734,6.320768294250582,2026,1,1,0,3,0,4769
Wildfire,42.001111,-101.760772,9.53285855926342,2026,1,1,0,3,0,-1
Wildfire,42.021944,-101.927778,10.52274596768403,2026,1,1,0,3,0,-1
Fire,32.036667,-92.825556,7.504942068396171,2026,1,1,0,3,0,4769
Fire,31.103717,-94.35225,8.519390774959724,2026,1,1,0,3,0,4769
Fire,31.135,-92.646933,6.83087423464618,2026,1,1,0,3,0,4769
Fire,34.588056,-81.635,6.966024187106113,2026,1,1,0,3,0,4770
Wildfire,34.7991667,-95.5319444,7.104144092987527,2026,1,1,0,3,0,4872
Wildfire,37.846389,-104.638056,6.459904454377535,2026,1,1,0,3,0,-1
Wildfire,31.131093,-95.158513,6.704414354964107,2026,1,1,0,3,0,-1
Fire,33.240418,-83.476397,6.778784897685177,2026,1,1,0,3,0,4770
Wildfire,31.83,-86.9869444,6.563855526532128,2026,1,1,0,3,0,-1
Fire,34.365,-87.2674,6.697034247666484,2026,1,1,0,3,0,4770
Fire,31.189088,-94.886818,8.351138607086154,2026,1,1,0,3,0,4769
Fire,40.400583,-89.8787,7.467942332285852,2026,1,1,0,3,0,-1
Fire,34.818241,-94.318322,8.09101504171053,2026,1,1,0,3,0,4769
Fire,34.425278,-93.545833,8.246171559857563,2026,1,1,0,3,0,4769
Fire,34.669806,-93.46725,7.828834527588089,2026,1,1,0,3,0,4769
Fire,37.878829,-83.68166,6.9865664594064265,2026,1,1,0,3,0,-1
Wildfire,29.0691667,-82.5494444,6.352594552506953,2026,1,1,0,3,0,-1
Fire,33.117915,-83.494928,6.922643891475888,2026,1,1,0,3,0,4770
